datetime,raw,interp_time,interp_time_ffill_bfill
2024-08-31 07:00:00,34.1,34.1,34.1
2024-08-31 08:00:00,34.2,34.2,34.2
2024-08-31 09:00:00,31.3,31.3,31.3
2024-08-31 10:00:00,22.8,22.8,22.8
2024-08-31 11:00:00,20.1,20.1,20.1
2024-08-31 12:00:00,22.1,22.1,22.1
2024-08-31 13:00:00,25.5,25.5,25.5
2024-08-31 14:00:00,29.8,29.8,29.8
2024-08-31 15:00:00,34.0,34.0,34.0
2024-08-31 16:00:00,35.9,35.9,35.9
2024-08-31 17:00:00,34.8,34.8,34.8
2024-08-31 18:00:00,24.6,24.6,24.6
2024-08-31 19:00:00,24.5,24.5,24.5
2024-08-31 20:00:00,26.1,26.1,26.1
2024-08-31 21:00:00,41.1,41.1,41.1
2024-08-31 22:00:00,51.0,51.0,51.0
2024-08-31 23:00:00,56.0,56.0,56.0
2024-09-01 00:00:00,49.5,49.5,49.5
2024-09-01 01:00:00,79.7,79.7,79.7
2024-09-01 02:00:00,82.2,82.2,82.2
2024-09-01 03:00:00,74.2,74.2,74.2
2024-09-01 04:00:00,51.6,51.6,51.6
2024-09-01 05:00:00,25.2,25.2,25.2
2024-09-01 06:00:00,27.1,27.1,27.1
2024-09-01 07:00:00,27.0,27.0,27.0
2024-09-01 08:00:00,35.8,35.8,35.8
2024-09-01 09:00:00,47.6,47.6,47.6
2024-09-01 10:00:00,55.2,55.2,55.2
2024-09-01 11:00:00,47.2,47.2,47.2
2024-09-01 12:00:00,43.5,43.5,43.5
2024-09-01 13:00:00,34.8,34.8,34.8
2024-09-01 14:00:00,44.2,44.2,44.2
2024-09-01 15:00:00,29.3,29.3,29.3
2024-09-01 16:00:00,31.1,31.1,31.1
2024-09-01 17:00:00,31.0,31.0,31.0
2024-09-01 18:00:00,27.3,27.3,27.3
2024-09-01 19:00:00,25.8,25.8,25.8
2024-09-01 20:00:00,24.0,24.0,24.0
2024-09-01 21:00:00,24.3,24.3,24.3
2024-09-01 22:00:00,28.9,28.9,28.9
2024-09-01 23:00:00,30.0,30.0,30.0
2024-09-02 00:00:00,31.2,31.2,31.2
2024-09-02 01:00:00,32.0,32.0,32.0
2024-09-02 02:00:00,29.9,29.9,29.9
2024-09-02 03:00:00,25.6,25.6,25.6
2024-09-02 04:00:00,22.0,22.0,22.0
2024-09-02 05:00:00,27.8,27.8,27.8
2024-09-02 06:00:00,30.3,30.3,30.3
2024-09-02 07:00:00,28.3,28.3,28.3
2024-09-02 08:00:00,28.3,28.3,28.3
2024-09-02 09:00:00,30.4,30.4,30.4
2024-09-02 10:00:00,29.9,29.9,29.9
2024-09-02 11:00:00,30.2,30.2,30.2
2024-09-02 12:00:00,30.6,30.6,30.6
2024-09-02 13:00:00,33.1,33.1,33.1
2024-09-02 14:00:00,27.7,27.7,27.7
2024-09-02 15:00:00,24.9,24.9,24.9
2024-09-02 16:00:00,23.2,23.2,23.2
2024-09-02 17:00:00,21.0,21.0,21.0
2024-09-02 18:00:00,18.2,18.2,18.2
2024-09-02 19:00:00,23.8,23.8,23.8
2024-09-02 20:00:00,33.2,33.2,33.2
2024-09-02 21:00:00,55.8,55.8,55.8
2024-09-02 22:00:00,60.2,60.2,60.2
2024-09-02 23:00:00,48.5,48.5,48.5
2024-09-03 00:00:00,31.5,31.5,31.5
2024-09-03 01:00:00,25.2,25.2,25.2
2024-09-03 02:00:00,21.9,21.9,21.9
2024-09-03 03:00:00,24.9,24.9,24.9
2024-09-03 04:00:00,24.6,24.6,24.6
2024-09-03 05:00:00,19.1,19.1,19.1
2024-09-03 06:00:00,20.3,20.3,20.3
2024-09-03 07:00:00,26.2,26.2,26.2
2024-09-03 08:00:00,41.2,41.2,41.2
2024-09-03 09:00:00,43.5,43.5,43.5
2024-09-03 10:00:00,38.5,38.5,38.5
2024-09-03 11:00:00,34.2,34.2,34.2
2024-09-03 12:00:00,28.5,28.5,28.5
2024-09-03 13:00:00,33.9,33.9,33.9
2024-09-03 14:00:00,33.2,33.2,33.2
2024-09-03 15:00:00,36.6,36.6,36.6
2024-09-03 16:00:00,27.3,27.3,27.3
2024-09-03 17:00:00,32.7,32.7,32.7
2024-09-03 18:00:00,26.9,26.9,26.9
2024-09-03 19:00:00,26.5,26.5,26.5
2024-09-03 20:00:00,23.2,23.2,23.2
2024-09-03 21:00:00,22.7,22.7,22.7
2024-09-03 22:00:00,23.9,23.9,23.9
2024-09-03 23:00:00,19.6,19.6,19.6
2024-09-04 00:00:00,17.1,17.1,17.1
2024-09-04 01:00:00,14.5,14.5,14.5
2024-09-04 02:00:00,16.7,16.7,16.7
2024-09-04 03:00:00,15.4,15.4,15.4
2024-09-04 04:00:00,14.4,14.4,14.4
2024-09-04 05:00:00,15.9,15.9,15.9
2024-09-04 06:00:00,18.7,18.7,18.7
2024-09-04 07:00:00,21.3,21.3,21.3
2024-09-04 08:00:00,27.2,27.2,27.2
2024-09-04 09:00:00,31.0,31.0,31.0
2024-09-04 10:00:00,32.3,32.3,32.3
2024-09-04 11:00:00,29.7,29.7,29.7
2024-09-04 12:00:00,30.8,30.8,30.8
2024-09-04 13:00:00,25.5,25.5,25.5
2024-09-04 14:00:00,21.4,21.4,21.4
2024-09-04 15:00:00,19.2,19.2,19.2
2024-09-04 16:00:00,18.5,18.5,18.5
2024-09-04 17:00:00,20.1,20.1,20.1
2024-09-04 18:00:00,19.2,19.2,19.2
2024-09-04 19:00:00,26.0,26.0,26.0
2024-09-04 20:00:00,39.1,39.1,39.1
2024-09-04 21:00:00,43.4,43.4,43.4
2024-09-04 22:00:00,42.2,42.2,42.2
2024-09-04 23:00:00,40.8,40.8,40.8
2024-09-05 00:00:00,43.2,43.2,43.2
2024-09-05 01:00:00,46.7,46.7,46.7
2024-09-05 02:00:00,41.6,41.6,41.6
2024-09-05 03:00:00,45.1,45.1,45.1
2024-09-05 04:00:00,38.6,38.6,38.6
2024-09-05 05:00:00,44.0,44.0,44.0
2024-09-05 06:00:00,37.2,37.2,37.2
2024-09-05 07:00:00,42.6,42.6,42.6
2024-09-05 08:00:00,28.9,28.9,28.9
2024-09-05 09:00:00,24.0,24.0,24.0
2024-09-05 10:00:00,24.5,24.5,24.5
2024-09-05 11:00:00,25.4,25.4,25.4
2024-09-05 12:00:00,36.2,36.2,36.2
2024-09-05 13:00:00,36.9,36.9,36.9
2024-09-05 14:00:00,31.1,31.1,31.1
2024-09-05 15:00:00,21.2,21.2,21.2
2024-09-05 16:00:00,17.9,17.9,17.9
2024-09-05 17:00:00,17.9,17.9,17.9
2024-09-05 18:00:00,17.4,17.4,17.4
2024-09-05 19:00:00,20.2,20.2,20.2
2024-09-05 20:00:00,21.0,21.0,21.0
2024-09-05 21:00:00,22.4,22.4,22.4
2024-09-05 22:00:00,23.7,23.7,23.7
2024-09-05 23:00:00,29.3,29.3,29.3
2024-09-06 00:00:00,41.1,41.1,41.1
2024-09-06 01:00:00,48.1,48.1,48.1
2024-09-06 02:00:00,44.7,44.7,44.7
2024-09-06 03:00:00,42.1,42.1,42.1
2024-09-06 04:00:00,37.4,37.4,37.4
2024-09-06 05:00:00,20.3,20.3,20.3
2024-09-06 06:00:00,15.4,15.4,15.4
2024-09-06 07:00:00,15.1,15.1,15.1
2024-09-06 08:00:00,19.2,19.2,19.2
2024-09-06 09:00:00,23.6,23.6,23.6
2024-09-06 10:00:00,30.7,30.7,30.7
2024-09-06 11:00:00,29.4,29.4,29.4
2024-09-06 12:00:00,32.0,32.0,32.0
2024-09-06 13:00:00,31.5,31.5,31.5
2024-09-06 14:00:00,26.0,26.0,26.0
2024-09-06 15:00:00,31.3,31.3,31.3
2024-09-06 16:00:00,16.9,16.9,16.9
2024-09-06 17:00:00,15.1,15.1,15.1
2024-09-06 18:00:00,15.5,15.5,15.5
2024-09-06 19:00:00,16.3,16.3,16.3
2024-09-06 20:00:00,22.7,22.7,22.7
2024-09-06 21:00:00,29.0,29.0,29.0
2024-09-06 22:00:00,35.6,35.6,35.6
2024-09-06 23:00:00,44.9,44.9,44.9
2024-09-07 00:00:00,47.8,47.8,47.8
2024-09-07 01:00:00,46.3,46.3,46.3
2024-09-07 02:00:00,61.1,61.1,61.1
2024-09-07 03:00:00,61.7,61.7,61.7
2024-09-07 04:00:00,55.4,55.4,55.4
2024-09-07 05:00:00,45.5,45.5,45.5
2024-09-07 06:00:00,37.9,37.9,37.9
2024-09-07 07:00:00,31.3,31.3,31.3
2024-09-07 08:00:00,27.0,27.0,27.0
2024-09-07 09:00:00,26.3,26.3,26.3
2024-09-07 10:00:00,28.1,28.1,28.1
